id,sentence,total_fix_dur
0,"``13 Conversations'' holds its goodwill close, but is relatively slow to come to the point. ",2016.4545454545453
1,"A stupid, derivative horror film that substitutes extreme gore for suspense. ",2138.0
2,"At its best when the guarded, resentful Betty and the manipulative yet needy Margot are front and center. ",2302.4166666666665
3,"In addition to scoring high for originality of plot -- putting together familiar themes of family, forgiveness and love in a new way -- Lilo & Stitch has a number of other assets to commend it to movie audiences both innocent and jaded. ",4266.818181818182
4,"A dim-witted and lazy spin-off of the Animal Planet documentary series, Crocodile Hunter is entertainment opportunism at its most glaring. ",2725.083333333333
5,"Like life on the island, the movie grows boring despite the scenery. ",2026.3636363636363
6,"Only a few minutes elapse before the daddy of all slashers arrives, still with the boiler suit and white mask, which look remarkably clean for a guy who has been mass-murdering since 1978 but has never been seen doing laundry. ",6050.5
7,"The stunning, dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension. ",2511.727272727273
8,Exudes the fizz of a Busby Berkeley musical and the visceral excitement of a sports extravaganza. ,3459.666666666668
9,Photographed with melancholy richness and eloquently performed yet also decidedly uncinematic. ,2450.3636363636365
10,Genuinely touching because it's realistic about all kinds of love. ,1535.4545454545455
11,It's like an old Warner Bros. ,725.0833333333334
12,It's the funniest American comedy since Graffiti Bridge. ,1489.9999999999998
13,"But the talented cast alone will keep you watching, as will the fight scenes. ",1481.0833333333333
14,"While Serving Sara does have a long way to go before it reaches the level of crudity in the latest Austin Powers extravaganza, there's nothing here to match that movie's intermittent moments of inspiration. ",4509.636363636363
15,and screenwriter Bruce Joel Rubin... ,605.3333333333333
16,"arrive early and stay late, filling nearly every minute... ",1138.75
17,"As quiet, patient and tenacious as Mr. ",1507.6666666666665
18,The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism. ,2597.5833333333335
19,Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency. ,4323.333333333334
20,"That is essentially what's missing from Blackboards -- the sense of something bigger, some ultimate point. ",1667.4999999999998
21,"If there's a way to effectively teach kids about the dangers of drugs, I think it's in projects like the (unfortunately R-rated) Paid. ",2663.583333333333
22,"Showtime is one of the hapless victims of the arrogant ``if we put together a wry white man and a chatty black man and give them guns, the movie will be funny'' syndrome. ",4114.75
23,"Denis forges out of the theories of class - based rage and sisterly obsession a razor-sided tuning fork that rings with cultural, sexual and social discord. ",4553.818181818182
